loteComposto;total_consumption_per_lote_per_bird
1037-44;5222.96
1037-46;5503.62
1075-41;5323.72
1075-43;3013.2599999999998
1113-34;5523.65
1114-31;5872.03
1114-32;5790.41
1114-33;6304.64
1114-35;5306.95
1116-31;5086.37
1116-34;5774.14
1116-35;5695.09
1117-31;5341.04
1118-23;5164.95
1118-24;5528.09
1118-27;4399.97
1118-28;5738.48
1120-33;4895.61
1281-16;3522.95
1281-20;5309.57
1282-16;5659.62
1282-17;5974.0
1283-16;6064.84
1283-20;5361.19
1284-16;5932.91
1284-20;4971.63
170-171;3945.69
170-172;4952.4
170-173;4772.6900000000005
171-171;6021.01
171-172;5364.58
171-173;4472.41
548-109;5683.0
660-100;5261.66
660-102;6066.36
660-103;5275.19
660-104;6572.84
665-97;5548.49
666-99;5152.41
884-67;4914.4
884-70;5517.51
