Aviario,PontuacaoMax,IEPMedian,ClassifCluster,PerfilDescritivo,AreaAlojamento
101,63,385,2,Manejo de Ouro,MRP09
102,74,335,1,Subutilizados,PNA12
103,57,406,2,Manejo de Ouro,MRP07
104,67,362,1,Subutilizados,MRP06
105,55,362,0,Críticos,MRP03
107,50,428,2,Manejo de Ouro,ASS15
108,61,405,2,Manejo de Ouro,PNA17
110,68,360,1,Subutilizados,PNA10
111,68,364,1,Subutilizados,PNA10
112,78,388,3,Alta Performance,PNA06
113,85,380,3,Alta Performance,ASS32
114,57,363,0,Críticos,ASS15
115,55,414,2,Manejo de Ouro,PNA02
117,32,385,0,Críticos,ASS17
118,76,404,3,Alta Performance,ASS16
120,32,355,0,Críticos,ASS07
121,45,380,2,Manejo de Ouro,ASS07
122,44,401,2,Manejo de Ouro,ASS32
123,31,374,0,Críticos,PNA15
124,73,363,1,Subutilizados,PNA04
125,74,359,1,Subutilizados,ASS04
126,74,388,2,Manejo de Ouro,ASS04
129,50,411,2,Manejo de Ouro,ASS32
130,55,422,2,Manejo de Ouro,ASS32
131,77,333,1,Subutilizados,NSR05
132,55,392,2,Manejo de Ouro,MRP11
133,37,380,0,Críticos,PNA17
134,79,389,3,Alta Performance,ASS02
135,73,404,2,Manejo de Ouro,ASS28
136,50,373,0,Críticos,IPR08
137,56,411,2,Manejo de Ouro,TRX06
138,55,374,2,Manejo de Ouro,MRP02
139,55,326,0,Críticos,PNA26
140,31,370,0,Críticos,PNA12
141,61,387,2,Manejo de Ouro,PNA20
142,73,358,1,Subutilizados,NSR02
143,73,360,1,Subutilizados,PNA16
144,61,361,1,Subutilizados,IPR07
145,55,361,0,Críticos,IPR07
147,68,403,2,Manejo de Ouro,PNA24
148,68,388,2,Manejo de Ouro,PNA24
149,62,398,2,Manejo de Ouro,MRP03
150,74,356,1,Subutilizados,PNA12
151,39,415,2,Manejo de Ouro,PNA02
152,45,411,2,Manejo de Ouro,PNA02
153,74,372,1,Subutilizados,IPR08
154,85,350,1,Subutilizados,PNA01
155,61,378,2,Manejo de Ouro,PNA16
156,61,353,1,Subutilizados,PNA21
157,57,392,2,Manejo de Ouro,PNA04
158,79,367,1,Subutilizados,PNA23
159,55,430,2,Manejo de Ouro,MRP05
160,89,392,3,Alta Performance,PNA09
161,61,412,2,Manejo de Ouro,ASS27
162,45,393,2,Manejo de Ouro,PNA13
163,51,369,0,Críticos,ASS18
164,45,415,2,Manejo de Ouro,PNA09
165,74,386,2,Manejo de Ouro,MRP06
166,68,426,2,Manejo de Ouro,TRX01
167,63,337,1,Subutilizados,MRP07
170,95,366,1,Subutilizados,PNA15
171,95,382,3,Alta Performance,PNA15
172,69,353,1,Subutilizados,PNA22
181,62,373,2,Manejo de Ouro,PNA14
182,62,357,1,Subutilizados,PNA14
183,95,349,1,Subutilizados,MRP04
184,55,395,2,Manejo de Ouro,MRP03
185,63,435,2,Manejo de Ouro,PNA14
186,74,348,1,Subutilizados,ASS04
188,59,425,2,Manejo de Ouro,ASS22
189,54,406,2,Manejo de Ouro,ASS22
190,84,377,1,Subutilizados,ASS28
191,68,370,1,Subutilizados,MRP03
192,57,379,2,Manejo de Ouro,PNA17
193,48,386,2,Manejo de Ouro,PNA23
194,44,334,0,Críticos,TOL01
195,55,351,0,Críticos,PNA14
196,59,413,2,Manejo de Ouro,PNA11
197,84,373,1,Subutilizados,ASS28
200,79,365,1,Subutilizados,ASS32
201,50,376,2,Manejo de Ouro,ASS12
202,74,396,2,Manejo de Ouro,NSR02
203,84,400,3,Alta Performance,NSR02
204,55,372,0,Críticos,MRP03
205,67,385,2,Manejo de Ouro,PNA06
206,44,396,2,Manejo de Ouro,MRP05
207,56,384,2,Manejo de Ouro,MRP01
208,32,345,0,Críticos,ASS27
209,78,407,3,Alta Performance,PNA04
210,78,411,3,Alta Performance,PNA04
211,56,379,2,Manejo de Ouro,MRP01
212,44,387,2,Manejo de Ouro,MRP05
215,68,370,1,Subutilizados,PNA23
216,63,383,2,Manejo de Ouro,PNA23
217,61,357,1,Subutilizados,PNA23
218,74,343,1,Subutilizados,PNA04
219,48,360,0,Críticos,PNA04
220,32,315,0,Críticos,PNA16
221,25,304,0,Críticos,PNA16
222,25,335,0,Críticos,PNA16
224,49,322,0,Críticos,TOL01
226,79,380,3,Alta Performance,PNA17
228,38,356,0,Críticos,PNA23
229,44,354,0,Críticos,PNA23
230,57,421,2,Manejo de Ouro,PNA14
231,56,404,2,Manejo de Ouro,PNA14
232,62,366,1,Subutilizados,PNA14
236,61,393,2,Manejo de Ouro,NSR01
237,55,354,0,Críticos,PNA08
238,55,357,0,Críticos,PNA08
240,63,368,1,Subutilizados,PNA22
241,49,399,2,Manejo de Ouro,ASS22
245,61,375,2,Manejo de Ouro,
246,74,360,1,Subutilizados,ASS04
247,60,383,2,Manejo de Ouro,ASS22
248,72,367,1,Subutilizados,ASS22
249,57,377,2,Manejo de Ouro,ASS15
250,56,378,2,Manejo de Ouro,IPR08
251,80,428,3,Alta Performance,TRX03
252,80,432,3,Alta Performance,TRX03
253,25,414,2,Manejo de Ouro,TRX02
255,62,345,1,Subutilizados,PNA02
256,74,411,3,Alta Performance,PNA01
258,77,405,3,Alta Performance,MRP08
261,51,377,2,Manejo de Ouro,PNA04
262,50,400,2,Manejo de Ouro,TRX06
265,74,387,2,Manejo de Ouro,ASS05
267,55,395,2,Manejo de Ouro,ASS15
270,61,399,2,Manejo de Ouro,TRX06
271,66,410,2,Manejo de Ouro,PNA01
272,79,383,3,Alta Performance,MRP02
273,74,401,2,Manejo de Ouro,PNA01
274,79,355,1,Subutilizados,PNA06
275,39,367,0,Críticos,PNA06
277,73,383,2,Manejo de Ouro,MRP06
279,67,344,1,Subutilizados,ASS01
280,44,395,2,Manejo de Ouro,
281,61,366,1,Subutilizados,MRP06
282,79,383,3,Alta Performance,PNA09
283,79,373,1,Subutilizados,ASS21
284,67,386,2,Manejo de Ouro,PNA06
285,74,365,1,Subutilizados,ASS06
286,57,372,2,Manejo de Ouro,ASS32
287,73,366,1,Subutilizados,PNA17
289,44,398,2,Manejo de Ouro,MRP10
290,61,387,2,Manejo de Ouro,MRP10
294,32,391,2,Manejo de Ouro,PNA10
295,50,373,0,Críticos,PNA10
296,61,362,1,Subutilizados,PNA19
297,84,391,3,Alta Performance,NSR04
298,89,389,3,Alta Performance,NSR04
299,45,353,0,Críticos,ASS29
300,56,389,2,Manejo de Ouro,NSR03
302,50,372,0,Críticos,MRP07
303,59,366,1,Subutilizados,PNA12
304,62,409,2,Manejo de Ouro,PNA11
305,61,417,2,Manejo de Ouro,PNA11
306,73,350,1,Subutilizados,PNA12
307,57,387,2,Manejo de Ouro,MRP10
308,55,390,2,Manejo de Ouro,MRP08
309,55,384,2,Manejo de Ouro,PNA02
310,79,362,1,Subutilizados,NSR04
311,68,343,1,Subutilizados,NSR04
312,38,355,0,Críticos,PNA12
313,50,394,2,Manejo de Ouro,PNA02
314,37,365,0,Críticos,NSR01
315,79,396,3,Alta Performance,MRP07
316,51,360,0,Críticos,ASS05
317,32,387,2,Manejo de Ouro,ASS17
318,73,411,2,Manejo de Ouro,ASS32
319,67,366,1,Subutilizados,NSR03
321,72,349,1,Subutilizados,MRP09
322,51,380,2,Manejo de Ouro,PNA06
323,37,362,0,Críticos,PNA04
324,37,379,0,Críticos,PNA04
325,61,378,2,Manejo de Ouro,ASS23
326,61,388,2,Manejo de Ouro,ASS23
327,61,372,2,Manejo de Ouro,ASS23
328,61,376,2,Manejo de Ouro,ASS23
329,45,406,2,Manejo de Ouro,ASS26
330,49,348,0,Críticos,MRP09
331,95,403,3,Alta Performance,TRX02
332,55,423,2,Manejo de Ouro,PNA25
333,62,407,2,Manejo de Ouro,PNA25
334,49,417,2,Manejo de Ouro,PNA11
335,44,330,0,Críticos,PNA03
336,38,308,0,Críticos,PNA03
337,95,385,3,Alta Performance,PNA15
339,95,381,3,Alta Performance,PNA21
340,45,402,2,Manejo de Ouro,TRX03
345,70,393,2,Manejo de Ouro,ASS21
347,67,363,1,Subutilizados,ASS31
349,44,418,2,Manejo de Ouro,ASS32
350,61,346,1,Subutilizados,IPR07
351,84,358,1,Subutilizados,PNA22
352,84,384,3,Alta Performance,PNA22
353,84,377,1,Subutilizados,PNA22
354,84,376,1,Subutilizados,PNA22
355,38,382,0,Críticos,ASS17
356,44,389,2,Manejo de Ouro,TUP02
357,67,405,2,Manejo de Ouro,PNA17
360,60,388,2,Manejo de Ouro,
361,60,429,2,Manejo de Ouro,
362,60,394,2,Manejo de Ouro,
363,55,389,2,Manejo de Ouro,
365,54,347,0,Críticos,ASS01
366,64,345,1,Subutilizados,ASS01
367,85,411,3,Alta Performance,ASS28
368,59,428,2,Manejo de Ouro,TRX03
369,73,392,2,Manejo de Ouro,ASS28
370,42,368,0,Críticos,
371,95,401,3,Alta Performance,TRX02
373,55,364,0,Críticos,
374,55,324,0,Críticos,
375,42,351,0,Críticos,
376,57,350,0,Críticos,ASS01
378,77,359,1,Subutilizados,IPR08
379,73,361,1,Subutilizados,PNA04
380,78,368,1,Subutilizados,PNA04
381,50,380,2,Manejo de Ouro,PNA01
383,31,369,0,Críticos,PNA12
384,62,353,1,Subutilizados,PNA13
385,68,356,1,Subutilizados,PNA13
386,67,360,1,Subutilizados,PNA20
387,49,361,0,Críticos,PNA08
388,37,388,2,Manejo de Ouro,TUP02
391,49,256,0,Críticos,
394,48,397,2,Manejo de Ouro,
395,72,314,1,Subutilizados,NSR04
396,43,339,0,Críticos,NSR04
397,55,375,2,Manejo de Ouro,TUP02
399,67,367,1,Subutilizados,
400,67,348,1,Subutilizados,
401,67,363,1,Subutilizados,
405,60,338,1,Subutilizados,MRP08
406,71,333,1,Subutilizados,MRP08
407,55,357,0,Críticos,PNA20
408,50,351,0,Críticos,MRP11
409,61,357,1,Subutilizados,ASS32
410,61,350,1,Subutilizados,ASS32
411,61,377,2,Manejo de Ouro,PNA19
412,19,381,0,Críticos,TUP02
413,42,358,0,Críticos,
414,42,365,0,Críticos,
415,7,385,0,Críticos,PNA11
416,31,326,0,Críticos,PNA10
418,44,339,0,Críticos,TRX06
419,49,343,0,Críticos,PNA12
420,55,332,0,Críticos,PNA12
421,55,303,0,Críticos,PNA12
422,63,354,1,Subutilizados,PNA12
423,55,365,0,Críticos,MRP02
424,55,356,0,Críticos,MRP02
425,49,385,2,Manejo de Ouro,TUP02
426,55,382,2,Manejo de Ouro,TUP02
427,32,364,0,Críticos,PNA13
428,44,342,0,Críticos,MRP08
429,50,356,0,Críticos,MRP08
430,90,385,3,Alta Performance,PNA04
431,61,387,2,Manejo de Ouro,MRP08
432,76,365,1,Subutilizados,MRP09
433,45,341,0,Críticos,ASS27
434,57,359,0,Críticos,ASS15
435,57,377,2,Manejo de Ouro,MRP10
436,56,371,2,Manejo de Ouro,IPR05
437,55,355,0,Críticos,MRP11
438,67,368,1,Subutilizados,PNA16
439,90,358,1,Subutilizados,PNA21
440,80,390,3,Alta Performance,TOL01
441,68,373,1,Subutilizados,PNA10
442,67,374,1,Subutilizados,PNA17
443,61,339,1,Subutilizados,ASS32
444,50,415,2,Manejo de Ouro,ASS15
445,20,335,0,Críticos,NSR04
447,68,342,1,Subutilizados,ASS04
448,70,379,2,Manejo de Ouro,ASS16
449,32,391,2,Manejo de Ouro,PNA19
450,74,367,1,Subutilizados,ASS18
451,38,385,2,Manejo de Ouro,ASS27
453,25,357,0,Críticos,IPR04
455,68,355,1,Subutilizados,ASS31
457,77,341,1,Subutilizados,NSR05
458,95,387,3,Alta Performance,
459,60,383,2,Manejo de Ouro,PNA01
461,38,385,2,Manejo de Ouro,MRP10
462,84,376,1,Subutilizados,ASS28
465,48,428,2,Manejo de Ouro,PNA02
466,63,369,1,Subutilizados,PNA09
467,89,378,3,Alta Performance,NSR04
468,74,412,3,Alta Performance,ASS28
469,55,370,0,Críticos,PNA02
470,45,353,0,Críticos,TUP02
471,39,375,0,Críticos,TUP02
472,25,368,0,Críticos,ASS28
473,55,389,2,Manejo de Ouro,TRX04
474,76,374,1,Subutilizados,MRP02
475,79,372,1,Subutilizados,ASS24
476,67,416,2,Manejo de Ouro,IPR07
477,72,392,2,Manejo de Ouro,IPR07
478,72,399,2,Manejo de Ouro,IPR07
479,74,371,1,Subutilizados,TRX05
480,67,377,2,Manejo de Ouro,MRP09
481,44,348,0,Críticos,ASS10
482,61,396,2,Manejo de Ouro,MRP07
483,54,386,2,Manejo de Ouro,NSR02
484,56,362,0,Críticos,MRP01
487,74,383,2,Manejo de Ouro,TOL01
488,66,409,2,Manejo de Ouro,MRP08
490,77,350,1,Subutilizados,ASS18
491,62,378,2,Manejo de Ouro,TRX05
494,12,323,0,Críticos,IPR05
495,23,353,0,Críticos,TUP01
